station_id,street_name,station_lat,station_lon,borough
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,Brooklyn
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,Brooklyn
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,Manhattan
372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,Brooklyn
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,Brooklyn
376,John St & William St,40.70862144,-74.00722156,Manhattan
379,W 31 St & 7 Ave,40.749156,-73.9916,Manhattan
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,Manhattan
383,Greenwich Ave & Charles St,40.735238,-74.000271,Manhattan
385,E 55 St & 2 Ave,40.75797322,-73.96603308,Manhattan
386,Centre St & Worth St,40.71494807,-74.00234482,Manhattan
387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
388,W 26 St & 10 Ave,40.749717753,-74.002950346,Manhattan
389,Broadway & Berry St,40.71044554,-73.96525063,Brooklyn
390,Duffield St & Willoughby St,40.69221589,-73.9842844,Brooklyn
391,Clark St & Henry St,40.69760127,-73.99344559,Brooklyn
392,Jay St & Tech Pl,40.695065,-73.987167,Brooklyn
393,E 5 St & Avenue C,40.72299208,-73.97995466,Manhattan
394,E 9 St & Avenue C,40.72521311,-73.97768752,Manhattan
396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,Brooklyn
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,Brooklyn
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,Brooklyn
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,Brooklyn
400,Pitt St & Stanton St,40.71926081,-73.98178024,Manhattan
401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan
403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
405,Washington St & Gansevoort St,40.739323,-74.008119,Manhattan
406,Hicks St & Montague St,40.69512845,-73.99595065,Brooklyn
408,Market St & Cherry St,40.71076228,-73.99400398,Manhattan
410,Suffolk St & Stanton St,40.72066442,-73.98517977,Manhattan
411,E 6 St & Avenue D,40.72228087,-73.97668709,Manhattan
412,Forsyth St & Canal St,40.7158155,-73.99422366,Manhattan
415,Pearl St & Hanover Square,40.7047177,-74.00926027,Manhattan
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,Brooklyn
417,Barclay St & Church St,40.71291224,-74.01020234,Manhattan
418,Front St & Gold St,40.70224,-73.982578,Brooklyn
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,Brooklyn
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,Brooklyn
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,Brooklyn
422,W 59 St & 10 Ave,40.770513,-73.988038,Manhattan
423,W 54 St & 9 Ave,40.76584941,-73.98690506,Manhattan
427,Bus Slip & State St,40.701907,-74.013942,Manhattan
435,W 21 St & 6 Ave,40.74173969,-73.99415556,Manhattan
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,Brooklyn
437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,Brooklyn
440,E 45 St & 3 Ave,40.75255434,-73.97282625,Manhattan
442,W 27 St & 7 Ave,40.746647,-73.993915,Manhattan
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,Brooklyn
445,E 10 St & Avenue A,40.72740794,-73.98142006,Manhattan
446,W 24 St & 7 Ave,40.74487634,-73.99529885,Manhattan
447,8 Ave & W 52 St,40.76370739,-73.9851615,Manhattan
448,W 37 St & 10 Ave,40.75660359,-73.9979009,Manhattan
450,W 49 St & 8 Ave,40.76227205,-73.98788205,Manhattan
453,W 22 St & 8 Ave,40.74475148,-73.99915362,Manhattan
454,E 51 St & 1 Ave,40.75455731,-73.96592976,Manhattan
455,1 Ave & E 44 St,40.75001986,-73.96905301,Manhattan
456,E 53 St & Madison Ave,40.7597108,-73.97402311,Manhattan
458,11 Ave & W 27 St,40.751396,-74.005226,Manhattan
459,W 20 St & 11 Ave,40.746745,-74.007756,Manhattan
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,Brooklyn
461,E 20 St & 2 Ave,40.73587678,-73.98205027,Manhattan
462,W 22 St & 10 Ave,40.74691959,-74.00451887,Manhattan
464,E 56 St & 3 Ave,40.75934501,-73.96759673,Manhattan
465,Broadway & W 41 St,40.75513557,-73.98658032,Manhattan
466,W 25 St & 6 Ave,40.74395411,-73.99144871,Manhattan
467,Dean St & 4 Ave,40.68312489,-73.97895137,Brooklyn
468,Broadway & W 56 St,40.7652654,-73.98192338,Manhattan
469,Broadway & W 53 St,40.76344058,-73.98268129,Manhattan
470,W 20 St & 8 Ave,40.74345335,-74.00004031,Manhattan
471,Grand St & Havemeyer St,40.71286844,-73.95698119,Brooklyn
472,E 32 St & Park Ave,40.7457121,-73.98194829,Manhattan
473,Rivington St & Chrystie St,40.72110063,-73.9919254,Manhattan
474,5 Ave & E 29 St,40.7451677,-73.98683077,Manhattan
476,E 31 St & 3 Ave,40.74394314,-73.97966069,Manhattan
477,W 41 St & 8 Ave,40.75640548,-73.9900262,Manhattan
478,11 Ave & W 41 St,40.76030096,-73.99884222,Manhattan
479,9 Ave & W 45 St,40.76019252,-73.9912551,Manhattan
480,W 53 St & 10 Ave,40.76669671,-73.99061728,Manhattan
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,Brooklyn
482,W 15 St & 7 Ave,40.73935542,-73.99931783,Manhattan
483,E 12 St & 3 Ave,40.73223272,-73.98889957,Manhattan
484,W 44 St & 5 Ave,40.75500254,-73.98014437,Manhattan
485,W 37 St & 5 Ave,40.75038009,-73.98338988,Manhattan
486,Broadway & W 29 St,40.7462009,-73.98855723,Manhattan
489,10 Ave & W 28 St,40.75066386,-74.00176802,Manhattan
490,8 Ave & W 33 St,40.751551,-73.993934,Manhattan
492,W 33 St & 7 Ave,40.75019995,-73.99093085,Manhattan
493,W 45 St & 6 Ave,40.7568001,-73.98291153,Manhattan
494,W 26 St & 8 Ave,40.74734825,-73.99723551,Manhattan
495,W 47 St & 10 Ave,40.76269882,-73.99301222,Manhattan
496,E 16 St & 5 Ave,40.73726186,-73.99238967,Manhattan
497,E 17 St & Broadway,40.73704984,-73.99009296,Manhattan
499,Broadway & W 60 St,40.76915505,-73.98191841,Manhattan
500,Broadway & W 51 St,40.76228826,-73.98336183,Manhattan
502,Henry St & Grand St,40.714215,-73.981346,Manhattan
503,E 20 St & Park Ave,40.73827428,-73.98751968,Manhattan
504,1 Ave & E 16 St,40.73221853,-73.98165557,Manhattan
505,6 Ave & W 33 St,40.74901271,-73.98848395,Manhattan
507,E 25 St & 2 Ave,40.73912601,-73.97973776,Manhattan
508,W 46 St & 11 Ave,40.76341379,-73.99667444,Manhattan
509,9 Ave & W 22 St,40.7454973,-74.00197139,Manhattan
513,W 56 St & 10 Ave,40.768254,-73.988639,Manhattan
514,12 Ave & W 40 St,40.76087502,-74.00277668,Manhattan
515,W 43 St & 10 Ave,40.76009437,-73.99461843,Manhattan
516,E 47 St & 1 Ave,40.75206862,-73.96784384,Manhattan
517,Pershing Square South,40.751581,-73.97791,Manhattan
518,E 39 St & 2 Ave,40.74780373,-73.9734419,Manhattan
519,Pershing Square North,40.751873,-73.977706,Manhattan
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,Manhattan
523,W 38 St & 8 Ave,40.75466591,-73.99138152,Manhattan
525,W 34 St & 11 Ave,40.75594159,-74.0021163,Manhattan
526,E 33 St & 5 Ave,40.74765947,-73.98490707,Manhattan
528,2 Ave & E 31 St,40.74290902,-73.97706058,Manhattan
529,W 42 St & 8 Ave,40.7575699,-73.99098507,Manhattan
530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,Manhattan
531,Forsyth St & Broome St,40.71893904,-73.99266288,Manhattan
532,S 5 Pl & S 5 St,40.710451,-73.960876,Brooklyn
533,Broadway & W 38 St,40.75299641,-73.98721619,Manhattan
534,Water - Whitehall Plaza,40.70255065,-74.0127234,Manhattan
536,1 Ave & E 30 St,40.74144387,-73.97536082,Manhattan
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,Brooklyn
540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,Manhattan
545,E 23 St & 1 Ave,40.736502,-73.97809472,Manhattan
546,E 30 St & Park Ave S,40.74444921,-73.98303529,Manhattan
2000,Front St & Washington St,40.70255088,-73.98940236,Brooklyn
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,Brooklyn
2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,Manhattan
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,Brooklyn
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,Manhattan
2008,Little West St & 1 Pl,40.70569254,-74.01677685,Manhattan
2009,Catherine St & Monroe St,40.71117444,-73.99682619,Manhattan
2010,Grand St & Greene St,40.72165481,-74.00234737,Manhattan
2012,E 27 St & 1 Ave,40.739445,-73.976806,Manhattan
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,Manhattan
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,Manhattan
2022,E 60 St & York Ave,40.759107,-73.959223,Manhattan
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,Manhattan
3002,South End Ave & Liberty St,40.711512,-74.015756,Manhattan
3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,Brooklyn
3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,Brooklyn
3042,Fulton St & Utica Ave,40.6794268,-73.9298911,Brooklyn
